"filename", "language", "JavaScript JSX", "XML", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\App.jsx", "JavaScript JSX", 47, 0, 0, 0, 0, 6, 53
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\Logo_dark.svg", "XML", 0, 5, 0, 0, 0, 1, 6
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\aboutus_1.svg", "XML", 0, 9, 0, 0, 0, 1, 10
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\aboutus_2.svg", "XML", 0, 9, 0, 0, 0, 1, 10
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\card_img.svg", "XML", 0, 21, 0, 0, 0, 1, 22
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\card_img_2.svg", "XML", 0, 19, 0, 0, 0, 1, 20
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\female_team-2.svg", "XML", 0, 32, 0, 0, 0, 1, 33
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\female_team.svg", "XML", 0, 9, 0, 0, 0, 1, 10
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\footer_bg.svg", "XML", 0, 9, 0, 0, 0, 1, 10
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\hero2_img.svg", "XML", 0, 13, 0, 0, 0, 1, 14
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\icon_dark 1.svg", "XML", 0, 9, 0, 0, 0, 1, 10
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\icon_light 1.svg", "XML", 0, 9, 0, 0, 0, 1, 10
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\image 7.svg", "XML", 0, 9, 0, 0, 0, 1, 10
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\male_team-2.svg", "XML", 0, 9, 0, 0, 0, 1, 10
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\assets\male_team.svg", "XML", 0, 9, 0, 0, 0, 1, 10
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\About\AboutUs.jsx", "JavaScript JSX", 164, 0, 0, 0, 4, 8, 176
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\About\FAQSection.jsx", "JavaScript JSX", 128, 0, 0, 0, 2, 10, 140
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\About\OurTeamPage.jsx", "JavaScript JSX", 122, 0, 0, 0, 2, 7, 131
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\About\OurValues.jsx", "JavaScript JSX", 88, 0, 0, 0, 1, 6, 95
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\CustomCursor\CustomCursor.jsx", "JavaScript JSX", 77, 0, 0, 0, 2, 12, 91
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\Email\Email.jsx", "JavaScript JSX", 82, 0, 0, 0, 3, 8, 93
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\Footer\Footer2.jsx", "JavaScript JSX", 65, 0, 0, 0, 6, 6, 77
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\Hero\Hero1.jsx", "JavaScript JSX", 72, 0, 0, 0, 4, 2, 78
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\Hero\Hero2.jsx", "JavaScript JSX", 207, 0, 0, 0, 7, 16, 230
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\Hero\Hero3.jsx", "JavaScript JSX", 135, 0, 0, 0, 5, 8, 148
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\Hero\MeetLegalExperts.jsx", "JavaScript JSX", 200, 0, 0, 0, 13, 24, 237
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\Hero\Testimonial.jsx", "JavaScript JSX", 251, 0, 0, 0, 16, 17, 284
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\Hero\VideoDesign.jsx", "JavaScript JSX", 88, 0, 0, 0, 2, 6, 96
"c:\Users\ujjwa\OneDrive\Desktop\client\lawfirm\src\components\Hero\WhatMakesUsStandOut.jsx", "JavaScript JSX", 109, 0, 0, 0, 5, 7, 121
